data/time,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
2019.08.21,79.692,89.124,106.512,84,81.24,72.816,74.28,70.68,68.544,67.488,66.492,59.796,50.472,63.84,56.064,54.084,63.96,50.28,65.424,71.52,62.664,69.6,63.204,72.888,83.388,81.528,74.34,83.976,81.276,81.984,83.808,71.952,76.524,78.156,70.56,80.964,82.344,80.928,80.604,87.948,93.84,105.324,99.348,108.288,112.272,116.508,112.692,118.008,144.96,133.944,152.388,128.58,148.332,151.896,123.9,121.968,111.18,101.052,120.648,114.756,106.716,114.552,115.98,99.012,106.596,100.308,124.596,119.52,109.176,115.86,130.884,138.9,129.168,133.752,124.692,132.3,125.88,140.832,146.724,137.628,151.824,145.704,152.556,175.62,153.36,153,149.784,154.008,141.384,122.484,128.496,122.772,118.74,109.74,105.276,101.388
2019.08.22,97.392,105.324,96.192,91.896,80.484,78.108,70.2,67.776,71.496,77.232,71.712,76.404,62.076,66.528,64.788,62.148,62.808,69.78,68.58,69.348,75.36,71.988,78.54,66.3,95.496,81.456,85.86,77.244,77.124,76.572,78.96,103.932,89.832,84.072,91.14,86.268,99.204,89.34,97.908,101.868,99.78,114.42,118.152,118.404,113.268,118.596,122.172,134.484,139.56,142.428,154.152,161.304,158.808,149.676,157.752,146.82,148.128,134.376,133.848,154.932,153.336,149.508,152.844,137.784,117.624,145.164,143.688,131.376,132.552,125.592,138.54,130.452,128.268,144.036,132.048,127.908,143.04,149.604,163.032,170.604,160.236,172.416,166.164,191.124,155.568,147.588,170.58,164.784,164.532,143.772,137.58,131.136,128.7,126.66,120.036,114.852
2019.08.23,107.988,105.432,94.704,89.244,93.156,91.752,89.148,97.38,79.152,78.192,80.004,76.008,78.912,82.284,75.384,76.176,77.904,76.944,82.008,74.556,64.308,75.18,85.812,90.288,97.836,95.232,95.808,87.48,90.132,94.656,88.26,90.564,77.712,80.076,77.16,89.004,95.652,105.648,104.04,104.988,104.088,107.856,115.032,111.672,119.82,117.66,119.016,118.836,129.744,138.084,133.356,148.812,157.296,146.316,139.932,138.996,132.48,122.832,142.224,131.352,100.272,110.388,112.428,127.236,126.72,126.972,134.172,136.368,116.844,118.896,105.012,111.192,127.98,138.552,128.46,135.096,127.704,122.316,144.048,162.192,156.504,147.636,139.68,138.828,150.18,156.852,134.1,135.744,157.968,135.828,158.82,139.056,136.356,120.12,123.924,114.876
2019.08.24,105.216,105.42,94.224,95.34,88.272,92.04,91.896,92.892,86.796,80.328,76.992,83.148,78.468,82.08,70.8,84.48,73.056,70.644,67.152,68.772,71.328,65.376,73.236,75.192,78.744,80.724,67.344,81.816,73.428,76.8,74.904,72.492,83.844,73.596,70.224,86.976,85.152,84.948,85.824,80.664,89.46,91.764,89.676,93.72,94.812,115.02,115.188,108.084,120.648,116.796,109.236,106.812,105.24,111,118.056,118.68,126.252,95.328,122.436,116.268,124.308,135.816,117.204,96.18,101.124,91.788,95.796,89.244,91.008,105.684,97.56,95.784,98.64,106.56,115.08,118.38,119.604,113.628,135.288,134.112,129.984,128.184,140.172,137.304,147.78,144.444,135.96,151.236,152.16,148.392,133.608,131.604,124.32,113.556,112.116,110.4
2019.08.25,101.244,106.08,96.78,91.512,99.768,85.86,90.684,82.98,79.452,82.812,77.976,69.996,70.632,80.352,68.076,78.672,91.332,78.6,80.028,85.68,74.292,84.444,93.888,93.084,107.328,99.3,94.08,90.912,81.756,79.572,89.616,94.068,102.204,95.256,94.044,90.84,99.252,109.116,116.664,110.184,110.148,137.22,134.664,137.808,148.032,146.592,162.012,159.168,146.436,155.22,158.268,171.78,171.78,190.128,185.148,144.288,156.708,151.764,141.672,140.844,147.84,147.408,138.816,153.732,122.028,129.324,147.9,139.584,127.656,145.908,138.336,166.836,132.156,143.724,155.448,147.168,164.244,173.076,174.18,185.748,169.44,166.788,172.776,166.212,160.164,174.384,166.176,159.72,155.748,141.792,148.536,151.068,147.84,130.236,133.248,112.032
2019.08.26,108.456,105.108,107.268,108.684,93.024,104.004,102.792,103.092,98.964,85.584,87.9,99.228,83.376,86.148,88.992,71.532,87.3,81.36,86.748,88.176,79.812,87.108,102.336,87,105.456,101.148,94.104,99.564,95.88,97.848,111.168,103.992,96.912,96.3,99.852,102.012,116.556,108.408,122.448,128.532,118.704,128.736,122.796,131.784,143.328,144.312,161.16,187.752,193.368,211.512,213.312,183.396,188.568,181.104,181.764,187.728,184.212,159.3,148.044,150.78,157.38,143.292,141.828,167.88,148.332,166.284,167.796,179.964,160.728,179.172,174.192,184.464,183.372,204.54,187.068,189.96,179.16,232.56,204.972,218.124,228.852,234.012,212.94,216.024,199.524,213.924,205.812,213.444,206.784,207.12,199.824,195.72,186.144,180.612,164.448,156.408
2019.08.27,160.284,143.412,149.22,141.384,128.688,121.92,127.524,118.86,113.94,119.76,119.58,108.948,118.68,116.472,111.384,102.84,115.764,109.164,100.464,107.328,104.64,102.24,105.972,122.712,115.284,124.404,108.072,100.704,104.52,123.804,131.232,123.396,126.612,126.684,114.552,111.144,121.716,125.856,134.604,133.944,138.468,157.632,142.14,148.956,146.844,173.304,192.54,202.032,200.076,213.3,203.22,219.756,228.372,210.288,195.06,168.804,194.652,173.076,192.324,156.492,160.176,158.268,148.272,146.712,145.608,158.964,150.54,153.528,169.884,175.548,167.832,167.244,172.38,180.936,181.908,215.652,210.684,206.592,214.596,208.224,185.7,189.156,184.668,194.616,204.552,203.544,174.444,179.448,175.056,168.732,174.408,182.628,164.34,159.864,147.492,141.24
2019.08.28,124.404,127.8,122.712,116.664,116.064,111.348,111.732,102.852,97.524,102.156,101.916,100.212,90.24,96.204,86.568,80.424,81.9,84.84,99.288,70.68,72.672,94.044,81.312,80.892,90.816,106.068,91.344,88.728,93.876,82.368,82.608,80.088,81.744,93.924,73.2,80.772,76.992,79.308,66.588,68.616,77.664,79.128,70.896,95.016,80.088,84.888,87.732,86.892,89.028,98.676,92.988,97.452,119.496,102.036,101.568,93.024,101.16,95.868,73.26,84.912,97.764,80.34,83.064,91.548,89.004,106.632,108.228,88.512,98.196,97.932,101.196,100.86,104.376,105.876,112.128,110.94,151.896,138.24,120.576,136.62,139.872,130.56,140.544,131.856,144.168,117.216,127.452,115.092,112.344,111.192,107.112,107.1,96.732,107.052,90.3,95.736
2019.08.29,76.488,70.38,72.024,67.164,62.028,65.94,63.612,60.336,64.02,59.316,54.888,59.304,48.588,54.156,49.236,64.308,56.16,51.24,55.932,53.16,62.472,56.856,63.456,71.58,67.248,74.544,70.956,78.684,68.16,53.7,62.556,64.236,51.552,52.704,57.468,57.732,63.624,54.936,59.268,53.208,61.212,62.796,63.096,59.196,65.868,57.756,64.08,71.352,68.04,63.408,65.412,66.768,69.684,66.012,71.4,62.664,70.176,56.268,60.072,57.3,53.412,70.884,78.288,64.704,54.384,51.648,69.204,67.08,59.484,64.62,77.796,63.492,83.916,78.096,80.22,85.944,97.176,85.728,86.052,75.696,93.108,78.684,77.064,108.372,83.232,88.584,92.688,102.36,94.428,88.956,84.06,80.628,69.84,64.608,63.06,64.944
2019.08.30,53.844,54.288,49.464,51.888,51.876,40.896,38.184,37.656,38.508,39.384,38.652,41.424,37.38,44.16,38.136,39.672,38.4,40.812,40.368,38.556,40.86,37.824,54.012,54.444,69.312,66.996,57.3,61.008,55.632,58.476,70.836,63.468,56.652,62.064,61.332,66.396,70.428,73.428,76.812,60.108,74.988,75.324,76.056,84.948,78.552,76.356,91.656,103.284,89.136,85.344,95.34,97.644,105.744,98.388,99.984,81.72,76.944,94.392,86.052,69.96,63.66,59.124,62.94,60.264,69.564,61.44,77.724,73.164,69.492,81.948,71.04,70.92,76.332,81.84,84.324,75.84,87.372,78.492,88.128,99.672,75.012,86.952,78.744,77.124,81.636,80.1,80.964,79.176,84.924,66.36,82.26,80.148,78.312,53.916,66.54,57.276
